winery,wine_name,year,rating,region,price_euros,vine_type,grape_variety,wine_ageing,service_temperature,quality_price_ratio,luxury_category,cluster_id
Vina Sastre,Pesus Ribera del Duero,2007,4.8,Ribera del Duero,360.0,Tinto,Tempranillo,0,16-18°C,0.013,1,0
Teso La Monja,Tinto,2012,4.8,Toro,1190.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Dominio de Pingus,Pingus,2017,4.8,Ribera del Duero,1150.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Teso La Monja,Tinto,2009,4.8,Toro,950.0,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,Priorato,1021.21,Tinto,Grenache / Carinena,0,16-18°C,0.005,1,0
Sierra Cantabria,Magico,2016,4.8,Rioja,544.5,Tinto,Tempranillo,0,16-18°C,0.009,1,0
Teso La Monja,Tinto,2011,4.8,Toro,1295.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,Priorato,992.2,Tinto,Grenache / Carinena,0,16-18°C,0.005,1,0
Teso La Monja,Tinto,2015,4.8,Toro,1289.44,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,Bierzo,1098.9,Tinto,Blend/Other,0,16-18°C,0.004,1,0
La Rioja Alta,Gran Reserva 890,1985,4.8,Rioja,215.34,Tinto,Tempranillo,1,16-18°C,0.022,1,0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,Priorato,1094.9,Tinto,Grenache / Carinena,0,16-18°C,0.004,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.7,Ribera del Duero,423.5,Tinto,Tempranillo,1,16-18°C,0.011,1,0
Vega Sicilia,Valbuena 5o,2010,4.7,Ribera del Duero,239.5,Tinto,Tempranillo,0,16-18°C,0.02,1,0
Vega Sicilia,Valbuena 5o,2014,4.7,Ribera del Duero,175.5,Tinto,Tempranillo,0,16-18°C,0.027,1,0
Vega Sicilia,Valbuena 5o,2006,4.7,Ribera del Duero,194.0,Tinto,Tempranillo,0,16-18°C,0.024,1,0
Vega Sicilia,Unico,2005,4.7,Ribera del Duero,381.15,Tinto,Tempranillo,0,16-18°C,0.012,1,0
Vega Sicilia,Unico,2004,4.7,Ribera del Duero,584.43,Tinto,Tempranillo,0,16-18°C,0.008,1,0
Vega Sicilia,Unico,2000,4.7,Ribera del Duero,555.2,Tinto,Tempranillo,0,16-18°C,0.008,1,0
Vega Sicilia,Unico,2007,4.7,Ribera del Duero,445.28,Tinto,Tempranillo,0,16-18°C,0.011,1,0
Vega Sicilia,Valbuena 5o,2015,4.7,Ribera del Duero,189.0,Tinto,Tempranillo,0,16-18°C,0.025,1,0
Vega Sicilia,Unico,2006,4.7,Ribera del Duero,362.25,Tinto,Tempranillo,0,16-18°C,0.013,1,0
Vega Sicilia,Unico,2008,4.7,Ribera del Duero,289.0,Tinto,Tempranillo,0,16-18°C,0.016,1,0
Vega Sicilia,Unico,2003,4.7,Ribera del Duero,325.0,Tinto,Tempranillo,0,16-18°C,0.014,1,0
Vega Sicilia,Valbuena 5o,2016,4.7,Ribera del Duero,107.57,Tinto,Tempranillo,0,16-18°C,0.044,1,0
Vega Sicilia,Valbuena 5o,2005,4.7,Ribera del Duero,234.0,Tinto,Tempranillo,0,16-18°C,0.02,1,0
Vega Sicilia,Unico,2002,4.7,Ribera del Duero,500.94,Tinto,Tempranillo,0,16-18°C,0.009,1,0
Vega Sicilia,Unico,1991,4.7,Ribera del Duero,698.9,Tinto,Tempranillo,0,16-18°C,0.007,1,0
Vega Sicilia,Unico,1994,4.7,Ribera del Duero,872.47,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,Ribera del Duero,877.85,Tinto,Tempranillo,1,16-18°C,0.005,1,0
Vega Sicilia,Unico,1990,4.7,Ribera del Duero,827.94,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,Ribera del Duero,113.18,Tinto,Tempranillo,0,16-18°C,0.042,1,0
Vega Sicilia,Unico,1989,4.7,Ribera del Duero,679.72,Tinto,Tempranillo,0,16-18°C,0.007,1,0
Vega Sicilia,Unico,1987,4.7,Ribera del Duero,787.59,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,Ribera del Duero,480.06,Tinto,Tempranillo,1,16-18°C,0.01,1,0
Pago de Carraovejas,El Anejon,2015,4.7,Ribera del Duero,75.1,Tinto,Tempranillo,0,16-18°C,0.063,1,0
Bodegas El Nido,El Nido,2014,4.7,Jumilla,154.9,Tinto,Blend/Other,0,16-18°C,0.03,1,0
Bodegas El Nido,El Nido,2013,4.7,Jumilla,145.0,Tinto,Blend/Other,0,16-18°C,0.032,1,0
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,Ribera del Duero,290.0,Tinto,Tempranillo,1,16-18°C,0.016,1,0
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,Rioja,795.0,Blanco,Viura,1,8-10°C,0.006,1,1
Bodegas El Nido,El Nido,2016,4.7,Jumilla,371.78009750522,Tinto,Blend/Other,0,16-18°C,0.013,1,0
Bodegas El Nido,El Nido,2008,4.7,Jumilla,134.19,Tinto,Blend/Other,0,16-18°C,0.035,1,0
Vinedos de Paganos,La Nieta,2015,4.7,Rioja,82.58,Tinto,Tempranillo,0,16-18°C,0.057,1,0
Vega Sicilia,Unico,1981,4.7,Ribera del Duero,873.86,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,Ribera del Duero,774.4,Tinto,Tempranillo,1,16-18°C,0.006,1,0
Emilio Moro,Malleolus de Valderramiro,2016,4.7,Ribera del Duero,84.95,Tinto,Tempranillo,0,16-18°C,0.055,1,0
Dominio de Pingus,Pingus,2001,4.7,Ribera del Duero,940.0,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Vega Sicilia,Unico,1986,4.7,Ribera del Duero,812.63,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Emilio Moro,Malleolus de Sanchomartin,2016,4.7,Ribera del Duero,116.54,Tinto,Tempranillo,0,16-18°C,0.04,1,0
Dominio de Pingus,Pingus,2004,4.7,Ribera del Duero,1500.0,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Dominio de Pingus,Pingus,2006,4.7,Ribera del Duero,1190.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Bodegas El Nido,El Nido,2017,4.7,Jumilla,154.85,Tinto,Blend/Other,0,16-18°C,0.03,1,0
Teso La Monja,Alabaster,2016,4.7,Toro,135.0,Tinto,Tempranillo,0,16-18°C,0.035,1,0
Quinta de la Quietud,La Mula de la Quietud,2015,4.7,Toro,63.75,Tinto,Tempranillo,0,16-18°C,0.074,1,0
Vega Sicilia,Unico,1985,4.7,Ribera del Duero,827.94,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,Castilla y Leon,66.07,Tinto,Tempranillo,0,16-18°C,0.071,1,7
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,Rioja,213.9,Tinto,Tempranillo,0,16-18°C,0.022,1,0
Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,Rioja,234.9,Tinto,Tempranillo,0,16-18°C,0.02,1,0
Vega Sicilia,Unico,1968,4.7,Ribera del Duero,2087.25,Tinto,Tempranillo,0,16-18°C,0.002,1,0
Vinedos de Paganos,La Nieta,2018,4.7,Rioja,89.9,Tinto,Tempranillo,0,16-18°C,0.052,1,0
Vega Sicilia,Unico,1964,4.7,Ribera del Duero,1384.54,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Vega Sicilia,Unico,1982,4.7,Ribera del Duero,820.98,Tinto,Tempranillo,0,16-18°C,0.006,1,0
Dominio de Pingus,Pingus,2015,4.7,Ribera del Duero,1250.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,Ribera del Duero,1500.0,Tinto,Tempranillo,1,16-18°C,0.003,1,0
Dominio de Pingus,Pingus,1999,4.7,Ribera del Duero,1715.18,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Vega Sicilia,Unico,1974,4.7,Ribera del Duero,932.3,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,Priorato,1372.14,Tinto,Grenache / Carinena,0,16-18°C,0.003,1,0
Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,Toro,78.9,Tinto,Tempranillo,0,16-18°C,0.06,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,Ribera del Duero,660.96,Tinto,Tempranillo,1,16-18°C,0.007,1,0
Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,Ribera del Duero,154.0,Tinto,Tempranillo,0,16-18°C,0.031,1,0
Vega Sicilia,Valbuena 5o,2017,4.7,Ribera del Duero,134.89,Tinto,Tempranillo,0,16-18°C,0.035,1,0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,Priorato,1422.96,Tinto,Grenache / Carinena,0,16-18°C,0.003,1,0
Bodega Numanthia,Termanthia,2005,4.7,Toro,207.11,Tinto,Tempranillo,0,16-18°C,0.023,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,Ribera del Duero,340.49,Tinto,Tempranillo,1,16-18°C,0.014,1,0
Emilio Moro,Clon De La Familia,2010,4.7,Ribera del Duero,317.63,Tinto,Tempranillo,0,16-18°C,0.015,1,0
Alto Moncayo,Aquilon Garnacha,2011,4.7,Campo de Borja,108.9,Tinto,Grenache,0,16-18°C,0.043,1,2
Vega Sicilia,Unico,1983,4.7,Ribera del Duero,700.0,Tinto,Tempranillo,0,16-18°C,0.007,1,0
Toro Albala,Don PX Convento Seleccion,1955,4.7,Montilla-Moriles,185.0,Generoso,Pedro Ximenez,0,12-14°C,0.025,1,4
Vega Sicilia,Unico,1980,4.7,Ribera del Duero,911.43,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,Rioja,1150.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Vega Sicilia,Unico,1972,4.7,Ribera del Duero,698.95,Tinto,Tempranillo,0,16-18°C,0.007,1,0
Bodega Numanthia,Termanthia,2004,4.7,Toro,2814.16,Tinto,Tempranillo,0,16-18°C,0.002,1,0
Teso La Monja,Tinto,2010,4.7,Toro,1325.0,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Alvaro Palacios,Quinon de Valmira,2015,4.7,Rioja,527.26,Tinto,Tempranillo,0,16-18°C,0.009,1,0
Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,Ribera del Duero,1071.45,Tinto,Tempranillo,1,16-18°C,0.004,1,0
Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,Priorato,299.0,Tinto,Grenache / Carinena,0,16-18°C,0.016,1,0
Finca Moncloa,Tintilla de Rota,2016,4.7,Cadiz,43.13,Desconocido,Blend/Other,0,10-14°C,0.109,0,3
Vega Sicilia,Unico,1953,4.7,Ribera del Duero,1207.6,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Bodegas Roda,Cirsion Rioja,2000,4.7,Rioja,175.0,Tinto,Tempranillo,0,16-18°C,0.027,1,0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,Priorato,1252.35,Tinto,Grenache / Carinena,0,16-18°C,0.004,1,0
Bodegas El Nido,El Nido,2019,4.7,Jumilla,145.9,Tinto,Blend/Other,0,16-18°C,0.032,1,0
Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,Priorato,447.95,Tinto,Grenache / Carinena,0,16-18°C,0.01,1,0
Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,Ribera del Duero,813.96,Tinto,Tempranillo,1,16-18°C,0.006,1,0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,Priorato,1410.26,Tinto,Grenache / Carinena,0,16-18°C,0.003,1,0
Martinet,Cami Pesseroles,2006,4.7,Priorato,182.9,Tinto,Grenache / Carinena,0,16-18°C,0.026,1,0
Recaredo,Turo d'en Mota,2007,4.7,Cava,99.0,Espumoso,Blend/Other,0,6-8°C,0.047,1,5
Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,Ribera del Duero,1113.2,Tinto,Tempranillo,1,16-18°C,0.004,1,0
Clos Erasmus,Priorat,2007,4.7,Priorato,654.31,Tinto,Grenache / Carinena,0,16-18°C,0.007,1,0
Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,Ribera del Duero,134.26,Tinto,Tempranillo,0,16-18°C,0.035,1,0
Barbadillo,Reliquia Palo Cortado Sherry,2015,4.7,Jerez Palo Cortado,380.0,Generoso,Blend/Other,0,12-14°C,0.012,1,4
La Rioja Alta,Gran Reserva 890,1982,4.7,Rioja,292.09,Tinto,Tempranillo,1,16-18°C,0.016,1,0
Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,Jerez Palo Cortado,400.85,Generoso,Blend/Other,0,12-14°C,0.012,1,4
Clos Erasmus,Daphne Glorian Red,2007,4.7,Priorato,202.01,Tinto,Grenache / Carinena,0,16-18°C,0.023,1,0
Toro Albala,Don PX Pedro Ximenez,1955,4.7,Montilla-Moriles,250.0,Generoso,Pedro Ximenez,0,12-14°C,0.019,1,4
Vinedos de Paganos,La Nieta,2019,4.7,Rioja,88.9,Tinto,Tempranillo,0,16-18°C,0.053,1,0
Bodegas Amaren,El Regollar,2016,4.7,Rioja,77.9,Tinto,Tempranillo,0,16-18°C,0.06,1,0
Toro Albala,Don PX Convento Seleccion,1958,4.7,Montilla-Moriles,191.61,Generoso,Pedro Ximenez,0,12-14°C,0.025,1,4
Teso La Monja,Alabaster,2018,4.7,Toro,123.89,Tinto,Tempranillo,0,16-18°C,0.038,1,0
Alvear,Abuelo Diego Palo Cortado,2015,4.7,Montilla-Moriles,114.28,Generoso,Pedro Ximenez,0,12-14°C,0.041,1,4
Equipo Navazos,La Bota 78 de Oloroso,2015,4.7,Manzanilla,95.57,Generoso,Blend/Other,0,12-14°C,0.049,1,4
Morca,Touran,2018,4.7,Campo de Borja,93.95,Tinto,Grenache,0,16-18°C,0.05,1,2
Territorio Luthier,Luthier Gran Reserva,2012,4.7,Ribera del Duero,248.0,Tinto,Tempranillo,1,16-18°C,0.019,1,0
Artadi,Vina El Pison,1995,4.7,Vino de Espana,397.0,Tinto,Tempranillo,0,16-18°C,0.012,1,0
Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,Valdeorras,194.86,Desconocido,Blend/Other,0,10-14°C,0.024,1,3
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,Cava,65.05,Espumoso,Blend/Other,1,6-8°C,0.072,1,5
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,Castilla y Leon,86.9,Tinto,Tempranillo,0,16-18°C,0.054,1,0
Vina Sastre,Pesus Ribera del Duero,2004,4.7,Ribera del Duero,472.5,Tinto,Tempranillo,0,16-18°C,0.01,1,0
Terra Remota,Usted,2010,4.7,Emporda,379.0,Tinto,Blend/Other,0,16-18°C,0.012,1,0
Dehesa de Los Canonigos,Gran Reserva,2001,4.7,Ribera del Duero,185.15,Tinto,Tempranillo,1,16-18°C,0.025,1,0
Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,Ribera del Duero,94.2,Tinto,Tempranillo,0,16-18°C,0.05,1,0
Miguel Merino,La Loma,2018,4.7,Rioja Alta,46.0,Tinto,Blend/Other,0,16-18°C,0.102,0,2
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,Priorato,919.6,Tinto,Grenache / Carinena,0,16-18°C,0.005,1,0
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,Alicante,81.9,Tinto,Monastrell,0,16-18°C,0.057,1,2
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,Rioja,680.0,Tinto,Tempranillo,1,16-18°C,0.007,1,0
Vega Sicilia,Valbuena 5o,2011,4.6,Ribera del Duero,218.0,Tinto,Tempranillo,0,16-18°C,0.021,1,0
Vega Sicilia,Valbuena 5o,2012,4.6,Ribera del Duero,177.0,Tinto,Tempranillo,0,16-18°C,0.026,1,0
Vega Sicilia,Valbuena 5o,2008,4.6,Ribera del Duero,187.3,Tinto,Tempranillo,0,16-18°C,0.025,1,0
Vega Sicilia,Valbuena 5o,2007,4.6,Ribera del Duero,195.59,Tinto,Tempranillo,0,16-18°C,0.024,1,0
Vega Sicilia,Valbuena 5o,2013,4.6,Ribera del Duero,135.0,Tinto,Tempranillo,0,16-18°C,0.034,1,0
Vega Sicilia,Valbuena 5o,2009,4.6,Ribera del Duero,225.2,Tinto,Tempranillo,0,16-18°C,0.02,1,0
Alion,Ribera del Duero,2016,4.6,Ribera del Duero,79.8,Tinto,Tempranillo,0,16-18°C,0.058,1,7
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,Ribera del Duero,116.187943627787,Tinto,Tempranillo,0,16-18°C,0.04,1,0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,Ribera del Duero,89.3,Tinto,Tempranillo,0,16-18°C,0.052,1,7
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,Rioja,438.9,Tinto,Tempranillo,1,16-18°C,0.01,1,0
Alion,Ribera del Duero,2017,4.6,Ribera del Duero,79.9,Tinto,Tempranillo,0,16-18°C,0.058,1,7
Vega Sicilia,Valbuena 5o,2004,4.6,Ribera del Duero,249.0,Tinto,Tempranillo,0,16-18°C,0.018,1,0
Dominio de Pingus,Flor de Pingus,2018,4.6,Ribera del Duero,129.95,Tinto,Tempranillo,0,16-18°C,0.035,1,0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,Ribera del Duero,76.95,Tinto,Tempranillo,0,16-18°C,0.06,1,7
Vega Sicilia,Valbuena 5o,2000,4.6,Ribera del Duero,252.0,Tinto,Tempranillo,0,16-18°C,0.018,1,0
Vega Sicilia,Valbuena 5o,2002,4.6,Ribera del Duero,232.0,Tinto,Tempranillo,0,16-18°C,0.02,1,0
Bodega Numanthia,Termanthia,2012,4.6,Toro,214.0,Tinto,Tempranillo,0,16-18°C,0.021,1,0
Bodega Numanthia,Termanthia,2011,4.6,Toro,205.0,Tinto,Tempranillo,0,16-18°C,0.022,1,0
Carmelo Rodero,Pago De Valtarrena,2015,4.6,Ribera del Duero,49.95,Tinto,Tempranillo,0,16-18°C,0.092,0,7
Emilio Moro,Malleolus de Sanchomartin,2011,4.6,Ribera del Duero,125.0,Tinto,Tempranillo,0,16-18°C,0.037,1,0
Vega Sicilia,Valbuena 5o,1999,4.6,Ribera del Duero,276.8,Tinto,Tempranillo,0,16-18°C,0.017,1,0
Emilio Moro,Malleolus de Valderramiro,2015,4.6,Ribera del Duero,75.0,Tinto,Tempranillo,0,16-18°C,0.061,1,7
Dominio de Pingus,Pingus,2010,4.6,Ribera del Duero,1359.75,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,Ribera del Duero,81.5,Tinto,Tempranillo,0,16-18°C,0.056,1,0
Dominio de Pingus,Pingus,2012,4.6,Ribera del Duero,890.0,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Dominio del Bendito,El Titan del Bendito,2015,4.6,Toro,43.5,Tinto,Tempranillo,0,16-18°C,0.106,0,7
Emilio Moro,Malleolus de Sanchomartin,2015,4.6,Ribera del Duero,99.0,Tinto,Tempranillo,0,16-18°C,0.046,1,0
Dominio de Pingus,Pingus,2013,4.6,Ribera del Duero,1198.72,Tinto,Tempranillo,0,16-18°C,0.004,1,0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,Castilla y Leon,94.95,Tinto,Tempranillo,0,16-18°C,0.048,1,7
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,Castilla y Leon,89.0,Tinto,Tempranillo,0,16-18°C,0.052,1,7
Dominio de Pingus,Pingus,2005,4.6,Ribera del Duero,1785.96,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Vinedos de Paganos,La Nieta,2017,4.6,Rioja,108.21,Tinto,Tempranillo,0,16-18°C,0.043,1,7
Artadi,Vina El Pison,2006,4.6,Vino de Espana,391.5,Tinto,Tempranillo,0,16-18°C,0.012,1,0
Dominio de Pingus,Pingus,1998,4.6,Ribera del Duero,1350.0,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Bodegas Roda,Cirsion Rioja,2007,4.6,Rioja,145.0,Tinto,Tempranillo,0,16-18°C,0.032,1,0
Bodegas Roda,Cirsion Rioja,2012,4.6,Rioja,173.38,Tinto,Tempranillo,0,16-18°C,0.027,1,0
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,Rioja,220.0,Tinto,Tempranillo,0,16-18°C,0.021,1,0
Marques de Murrieta,Dalmau Rioja,2017,4.6,Rioja,85.7,Tinto,Tempranillo,0,16-18°C,0.054,1,7
Vega Sicilia,Unico,1965,4.6,Ribera del Duero,2884.04,Tinto,Tempranillo,0,16-18°C,0.002,1,0
Sierra Cantabria,Finca el Bosque,2015,4.6,Rioja,79.9,Tinto,Tempranillo,0,16-18°C,0.058,1,7
Vina Sastre,Pago de Santa Cruz,2018,4.6,Ribera del Duero,68.7,Tinto,Tempranillo,0,16-18°C,0.067,1,7
Dominio de Pingus,Pingus,2003,4.6,Ribera del Duero,1638.95,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Mas d'en Gil,Clos Fonta Priorat,2004,4.6,Priorato,150.0,Tinto,Grenache / Carinena,0,16-18°C,0.031,1,0
Carmelo Rodero,Pago De Valtarrena,2016,4.6,Ribera del Duero,48.95,Tinto,Tempranillo,0,16-18°C,0.094,0,7
Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,Ribera del Duero,109.41,Tinto,Tempranillo,0,16-18°C,0.042,1,0
Emilio Moro,Malleolus de Sanchomartin,2014,4.6,Ribera del Duero,119.0,Tinto,Tempranillo,0,16-18°C,0.039,1,0
Vega Sicilia,Valbuena 5o,1992,4.6,Ribera del Duero,195.0,Tinto,Tempranillo,0,16-18°C,0.024,1,0
Dominio de Pingus,Pingus,2014,4.6,Ribera del Duero,1595.0,Tinto,Tempranillo,0,16-18°C,0.003,1,0
Artadi,Vina El Pison,2010,4.6,Vino de Espana,519.55,Tinto,Tempranillo,0,16-18°C,0.009,1,0
Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,Ribera del Duero,89.0,Tinto,Tempranillo,0,16-18°C,0.052,1,0
